0,-6.4908e-05,1
0.001,0.00027773,1
0.002,0.0010331,1
0.003,0.0013044,1
0.004,0.0012724,1
0.005,0.001938,1
0.006,0.0025754,1
0.007,0.0031292,1
0.008,0.0028535,1
0.009,0.003729,1
0.01,0.0042025,1
0.011,0.0043441,1
0.012,0.0045028,1
0.013,0.0053692,1
0.014,0.0056889,1
0.015,0.0060582,1
0.016,0.0058392,1
0.017,0.0063502,1
0.018,0.0073406,1
0.019,0.0074454,1
0.02,0.0075227,1
0.021,0.0082044,1
0.022,0.0087205,1
0.023,0.0090424,1
0.024,0.0094544,1
0.025,0.0097407,1
0.026,0.010054,1
0.027,0.010155,1
0.028,0.010675,1
0.029,0.01071,1
0.03,0.011266,1
0.031,0.011909,1
0.032,0.011547,1
0.033,0.011994,1
0.034,0.012817,1
0.035,0.013175,1
0.036,0.013478,1
0.037,0.013923,1
0.038,0.01425,1
0.039,0.014063,1
0.04,0.014239,1
0.041,0.014966,1
0.042,0.015008,1
0.043,0.015504,1
0.044,0.015953,1
0.045,0.016272,1
0.046,0.016518,1
0.047,0.016862,1
0.048,0.017508,1
0.049,0.017359,1
0.05,0.017633,-1
0.051,0.017662,-1
0.052,0.016678,-1
0.053,0.016019,-1
0.054,0.015957,-1
0.055,0.015587,-1
0.056,0.014821,-1
0.057,0.014448,-1
0.058,0.014098,-1
0.059,0.01327,-1
0.06,0.01332,-1
0.061,0.012455,-1
0.062,0.011959,-1
0.063,0.011832,-1
0.064,0.011486,-1
0.065,0.010359,-1
0.066,0.010316,-1
0.067,0.01004,-1
0.068,0.0092338,-1
0.069,0.0087519,-1
0.07,0.0082827,-1
0.071,0.0078142,-1
0.072,0.0075711,-1
0.073,0.0067879,-1
0.074,0.0063716,-1
0.075,0.0059076,-1
0.076,0.0057025,-1
0.077,0.0056111,-1
0.078,0.0049177,-1
0.079,0.0042755,-1
0.08,0.0038727,-1
0.081,0.0039951,-1
0.082,0.0030292,-1
0.083,0.0023953,-1
0.084,0.0021029,-1
0.085,0.0018257,-1
0.086,0.0018984,-1
0.087,0.0012528,-1
0.088,0.00033069,-1
0.089,0.00022114,-1
0.09,-8.2184e-05,-1
0.091,-0.0003942,-1
0.092,-0.00090858,-1
0.093,-0.0016699,-1
0.094,-0.0016975,-1
0.095,-0.0019115,-1
0.096,-0.0024569,-1
0.097,-0.0030786,-1
0.098,-0.0030073,-1
0.099,-0.0034272,-1
0.1,-0.0036687,1
0.101,-0.0037127,1
0.102,-0.0029929,1
0.103,-0.0030168,1
0.104,-0.0025086,1
0.105,-0.0022702,1
0.106,-0.0016559,1
0.107,-0.0013815,1
0.108,-0.0010396,1
0.109,-3.6396e-05,1
0.11,-1.6344e-05,1
0.111,0.00084325,1
0.112,0.00076637,1
0.113,0.0011889,1
0.114,0.0013223,1
0.115,0.0018286,1
0.116,0.0026239,1
0.117,0.002666,1
0.118,0.0033685,1
0.119,0.0039106,1
0.12,0.0036754,1
0.121,0.0046443,1
0.122,0.0049066,1
0.123,0.0053678,1
0.124,0.0053683,1
0.125,0.0061777,1
0.126,0.0060603,1
0.127,0.006616,1
0.128,0.0074121,1
0.129,0.0073701,1
0.13,0.0079886,1
0.131,0.0081524,1
0.132,0.0085061,1
0.133,0.0091579,1
0.134,0.0093177,1
0.135,0.0096766,1
0.136,0.010179,1
0.137,0.010201,1
0.138,0.010824,1
0.139,0.011344,1
0.14,0.011131,1
0.141,0.011576,1
0.142,0.011995,1
0.143,0.01274,1
